segment_id,customer_id,rfm_score,segment_name,recency_days,frequency,monetary_value,churn_risk,last_updated
1,1,76,Loyal,28,4,2079.05,Low,2026-05-27 09:11:02
2,2,46,Potential,161,3,2852.87,Medium,2026-05-27 09:11:02
3,3,52,Potential,17,2,992.18,Low,2026-05-27 09:11:02
4,4,82,Champion,34,4,3298.36,Low,2026-05-27 09:11:02
5,5,36,At Risk,73,2,1300.63,Low,2026-05-27 09:11:02
6,6,86,Champion,46,7,3730.65,Low,2026-05-27 09:11:02
7,7,48,Potential,96,3,1943.62,Medium,2026-05-27 09:11:02
8,8,20,At Risk,541,1,679.64,High,2026-05-27 09:11:02
9,9,60,Loyal,93,3,3148.25,Medium,2026-05-27 09:11:02
10,10,78,Loyal,139,7,3843.07,Medium,2026-05-27 09:11:02
11,11,68,Loyal,64,5,2735.71,Low,2026-05-27 09:11:02
12,12,74,Loyal,58,5,3264.19,Low,2026-05-27 09:11:02
13,13,38,At Risk,324,3,2547.59,High,2026-05-27 09:11:02
14,14,58,Potential,221,4,4012.76,High,2026-05-27 09:11:02
15,15,68,Loyal,58,4,2553.84,Low,2026-05-27 09:11:02
16,16,28,At Risk,247,1,1155.41,High,2026-05-27 09:11:02
17,17,100,Champion,0,9,5203.65,Low,2026-05-27 09:11:02
18,18,20,At Risk,634,2,863.84,High,2026-05-27 09:11:02
19,19,92,Champion,46,9,4833.45,Low,2026-05-27 09:11:02
20,20,84,Champion,92,7,4066.44,Medium,2026-05-27 09:11:02
21,21,100,Champion,10,8,6033.51,Low,2026-05-27 09:11:02
22,22,56,Potential,41,3,1642.43,Low,2026-05-27 09:11:02
23,23,54,Potential,82,3,2169.91,Low,2026-05-27 09:11:02
24,24,44,Potential,54,1,30.78,Low,2026-05-27 09:11:02
25,25,82,Champion,8,5,2394.25,Low,2026-05-27 09:11:02
26,26,94,Champion,0,6,4890.41,Low,2026-05-27 09:11:02
27,27,28,At Risk,148,2,1007.65,Medium,2026-05-27 09:11:02
28,28,56,Potential,49,3,1581.54,Low,2026-05-27 09:11:02
29,29,76,Loyal,149,7,4862.68,Medium,2026-05-27 09:11:02
30,30,58,Potential,163,6,2166.69,Medium,2026-05-27 09:11:02
31,31,32,At Risk,380,3,1807.95,High,2026-05-27 09:11:02
32,32,100,Champion,20,7,5276.65,Low,2026-05-27 09:11:02
33,33,88,Champion,1,6,3216.76,Low,2026-05-27 09:11:02
34,34,84,Champion,88,8,5372.27,Low,2026-05-27 09:11:02
35,35,76,Loyal,12,3,2860.11,Low,2026-05-27 09:11:02
36,36,36,At Risk,129,2,513.32,Medium,2026-05-27 09:11:02
37,37,58,Potential,23,2,1790.23,Low,2026-05-27 09:11:02
38,38,80,Champion,36,4,4148.22,Low,2026-05-27 09:11:02
39,39,100,Champion,21,10,10041.59,Low,2026-05-27 09:11:02
40,40,88,Champion,10,6,2561.68,Low,2026-05-27 09:11:02
41,41,46,Potential,166,3,2345.99,Medium,2026-05-27 09:11:02
42,42,100,Champion,30,9,4335.46,Low,2026-05-27 09:11:02
43,43,76,Loyal,173,6,5398.76,Medium,2026-05-27 09:11:02
44,44,68,Loyal,46,4,2694.65,Low,2026-05-27 09:11:02
45,45,70,Loyal,175,7,3440.94,Medium,2026-05-27 09:11:02
46,46,28,At Risk,245,1,773.82,High,2026-05-27 09:11:02
47,47,20,At Risk,375,2,1120.23,High,2026-05-27 09:11:02
48,48,70,Loyal,227,7,4033.91,High,2026-05-27 09:11:02
49,49,28,At Risk,196,2,1277.71,High,2026-05-27 09:11:02
50,50,66,Loyal,121,4,3253.5,Medium,2026-05-27 09:11:02
51,51,74,Loyal,56,4,3190.66,Low,2026-05-27 09:11:02
52,52,82,Champion,16,5,2272.35,Low,2026-05-27 09:11:02
53,53,84,Champion,73,9,8829.18,Low,2026-05-27 09:11:02
54,54,94,Champion,25,5,4258.75,Low,2026-05-27 09:11:02
55,55,62,Loyal,64,3,2472.21,Low,2026-05-27 09:11:02
56,56,64,Loyal,171,5,3378.23,Medium,2026-05-27 09:11:02
57,57,28,At Risk,220,2,855.66,High,2026-05-27 09:11:02
58,58,38,At Risk,341,4,1870.97,High,2026-05-27 09:11:02
59,59,80,Champion,41,5,3100.41,Low,2026-05-27 09:11:02
60,60,50,Potential,42,2,1610.04,Low,2026-05-27 09:11:02
61,61,66,Loyal,78,5,2377.26,Low,2026-05-27 09:11:02
62,62,58,Potential,6,2,1346.9,Low,2026-05-27 09:11:02
63,63,58,Potential,212,4,3394.26,High,2026-05-27 09:11:02
64,64,32,At Risk,485,3,1999.77,High,2026-05-27 09:11:02
65,65,88,Champion,25,5,3139.01,Low,2026-05-27 09:11:02
66,66,70,Loyal,194,5,4965.31,High,2026-05-27 09:11:02
67,67,100,Champion,5,6,4436.74,Low,2026-05-27 09:11:02
68,68,20,At Risk,325,2,917.85,High,2026-05-27 09:11:02
69,69,100,Champion,8,8,4053.62,Low,2026-05-27 09:11:02
70,70,20,At Risk,482,2,682.05,High,2026-05-27 09:11:02
71,71,80,Champion,55,5,3860.85,Low,2026-05-27 09:11:02
72,72,94,Champion,23,7,3657.32,Low,2026-05-27 09:11:02
73,73,48,Potential,104,3,1499.4,Medium,2026-05-27 09:11:02
74,74,48,Potential,68,3,1442.59,Low,2026-05-27 09:11:02
75,75,56,Potential,41,3,1425.55,Low,2026-05-27 09:11:02
76,76,48,Potential,90,4,927.39,Low,2026-05-27 09:11:02
77,77,40,Potential,177,3,1949.07,Medium,2026-05-27 09:11:02
78,78,68,Loyal,43,5,2017.91,Low,2026-05-27 09:11:02
79,79,76,Loyal,171,7,4088.59,Medium,2026-05-27 09:11:02
80,80,32,At Risk,425,3,1669.79,High,2026-05-27 09:11:02
81,81,74,Loyal,42,5,2739.15,Low,2026-05-27 09:11:02
82,82,86,Champion,44,5,4103.97,Low,2026-05-27 09:11:02
83,83,46,Potential,179,3,2047.6,Medium,2026-05-27 09:11:02
84,84,38,At Risk,265,3,1831.7,High,2026-05-27 09:11:02
85,85,58,Potential,149,4,3027.41,Medium,2026-05-27 09:11:02
86,86,48,Potential,143,3,1259.25,Medium,2026-05-27 09:11:02
87,87,66,Loyal,111,5,2849.55,Medium,2026-05-27 09:11:02
88,88,26,At Risk,257,2,1535.71,High,2026-05-27 09:11:02
89,89,72,Loyal,102,5,3626.07,Medium,2026-05-27 09:11:02
90,90,64,Loyal,7,3,758.59,Low,2026-05-27 09:11:02
91,91,60,Loyal,126,3,2652.65,Medium,2026-05-27 09:11:02
