order_id,customer_id,order_date,total_amount
1,98,2026-03-30,1196.29
2,103,2025-04-26,1535.67
3,83,2025-11-29,722.57
4,14,2025-06-13,1135.29
5,87,2026-02-05,1096.73
6,71,2025-06-03,1148.22
7,12,2025-02-01,61.04
8,100,2024-08-09,742.16
9,102,2025-05-28,257.6
10,37,2026-05-04,699.14
11,33,2026-05-26,175.62
12,95,2024-12-11,20.52
13,23,2024-06-20,1166.55
14,48,2025-06-11,677.5
15,91,2025-04-04,1098.34
16,50,2026-01-26,643.78
17,114,2024-10-06,1121.79
18,84,2025-04-22,376.53
19,69,2025-10-07,448.44
20,69,2025-07-30,84.48
21,6,2026-02-26,402.16
22,90,2024-06-06,53.66
23,15,2024-10-13,947.92
24,63,2025-07-26,126.58
25,21,2025-09-16,1376.74
26,25,2025-01-16,351.63
27,76,2025-10-24,469.06
28,53,2026-03-15,1262.16
29,119,2024-10-31,639.92
30,26,2025-05-24,1038.36
31,85,2025-12-29,119.67
32,34,2025-05-30,821.54
33,1,2026-02-17,410.77
34,32,2025-06-29,516.18
35,29,2025-06-22,1092.25
36,120,2024-09-14,1294.79
37,79,2025-11-30,727.76
38,71,2026-04-02,484.56
39,35,2025-10-31,1418.16
40,21,2026-01-05,451.5
41,5,2025-07-16,506.45
42,86,2025-07-04,120.44
43,59,2026-03-28,548.65
44,64,2024-06-13,837.96
45,104,2025-03-22,303.86
46,32,2026-05-07,1108.46
47,94,2025-09-11,358.08
48,66,2025-11-14,1202.46
49,55,2024-12-18,680.6
50,78,2025-02-04,577.9
51,33,2026-03-02,1190.66
52,38,2026-03-29,1027.89
53,45,2024-06-11,69.22
54,23,2026-01-25,616.96
55,87,2025-03-31,301.7
56,112,2024-08-14,474.65
57,39,2025-06-23,1441.1
58,55,2026-03-24,1108.3
59,18,2024-07-23,490.06
60,44,2026-04-11,869.31
61,43,2024-09-10,1015.06
62,3,2025-12-18,615.37
63,1,2026-04-29,652.57
64,110,2026-01-16,1038.76
65,26,2025-03-29,898.45
66,25,2026-03-23,584.22
67,53,2024-12-27,887.37
68,13,2024-10-22,503.94
69,108,2025-08-15,1243.42
70,40,2025-01-31,190.22
71,21,2025-03-06,973.91
72,12,2024-06-30,908.16
73,25,2026-01-01,404.35
74,30,2024-07-24,431.1
75,29,2025-12-29,75.68
76,89,2025-03-15,595.33
77,19,2025-05-16,323.04
78,48,2025-10-12,155.96
79,43,2025-09-09,813.52
80,52,2026-05-11,53.66
81,21,2026-04-04,161.52
82,100,2024-06-10,722.67
83,17,2025-01-02,448.54
84,58,2025-05-13,946.11
85,106,2025-03-12,1475.06
86,24,2026-04-03,30.78
87,67,2024-10-23,410.94
88,17,2024-09-09,550.56
89,45,2025-07-08,613.36
90,108,2025-04-09,874.28
91,106,2025-10-02,486.41
92,32,2025-03-24,596.34
93,11,2026-03-24,512.91
94,120,2024-06-27,276.57
95,69,2024-08-18,56.32
96,72,2024-08-29,216.2
97,86,2026-01-04,561.61
98,26,2025-11-11,528.1
99,32,2025-08-10,1220.64
100,66,2024-10-10,30.78
101,19,2025-05-28,422.51
102,65,2026-03-09,829.25
103,102,2025-07-16,586.02
104,39,2024-10-17,1171.8
105,97,2024-11-10,105.85
106,57,2025-10-19,201.36
107,118,2025-02-24,131.8
108,83,2024-06-04,506.37
109,11,2025-10-26,290.28
110,67,2026-05-22,921.48
111,79,2025-12-07,384.98
112,110,2026-02-14,473.97
113,10,2024-12-28,192.39
114,22,2024-08-06,386.4
115,5,2026-03-15,794.18
116,81,2024-06-09,461.04
117,20,2026-02-24,131.46
118,106,2025-01-31,103.83
119,20,2025-02-24,1115.46
120,61,2026-03-10,648.02
121,79,2025-07-25,1085.83
122,51,2025-06-07,708.24
123,92,2025-05-29,1342.39
124,79,2025-09-23,227.04
125,44,2025-10-24,63.29
126,75,2026-04-16,183.12
127,72,2024-09-08,28.16
128,76,2025-04-15,323.04
129,19,2026-03-21,56.32
130,87,2026-01-29,562.22
131,105,2026-01-05,412.97
132,43,2024-10-22,715.75
133,80,2025-03-17,749.9
134,53,2025-04-22,919.71
135,17,2024-12-09,469.98
136,41,2024-08-11,1185.89
137,77,2025-01-16,590.3
138,41,2024-12-14,145.14
139,113,2024-07-27,204.6
140,115,2024-10-04,705.54
141,92,2026-01-25,816.53
142,48,2025-01-24,435.42
143,30,2025-01-13,849.51
144,10,2026-01-08,1095.27
145,10,2025-11-20,551.19
146,63,2025-06-12,1503.99
147,75,2025-02-16,1215.6
148,1,2024-11-12,338.7
149,115,2026-03-24,1027.31
150,90,2026-03-23,467.1
151,80,2024-11-25,417.75
152,85,2024-06-28,1489.0
153,57,2024-12-25,654.3
154,45,2025-12-03,103.47
155,67,2025-08-19,276.16
156,81,2026-02-11,63.29
157,115,2025-05-21,269.86
158,12,2025-11-03,363.1
159,71,2024-09-27,813.15
160,93,2024-09-12,1157.99
161,72,2026-05-04,636.33
162,118,2025-08-01,986.06
163,26,2024-07-22,1186.53
164,6,2025-09-10,588.53
165,21,2025-03-19,361.32
166,84,2025-09-04,163.97
167,114,2025-04-19,918.0
168,19,2025-09-12,500.21
169,9,2026-02-23,665.16
170,112,2024-12-24,1415.45
171,15,2026-03-30,828.07
172,27,2025-12-30,696.8
173,60,2025-07-07,1507.32
174,78,2025-04-09,119.67
175,92,2024-07-27,355.0
176,6,2025-05-25,73.26
177,67,2025-09-09,553.95
178,6,2026-04-11,145.14
179,103,2026-04-16,1299.65
180,8,2024-12-02,679.64
181,60,2026-04-15,102.72
182,62,2025-02-20,1041.9
183,22,2026-04-16,135.83
184,17,2025-01-11,455.84
185,35,2025-10-19,415.97
186,105,2026-03-23,196.47
187,1,2025-04-08,677.01
188,45,2025-10-10,722.54
189,68,2024-12-20,240.96
190,10,2025-08-25,255.56
191,2,2025-12-17,1354.77
192,56,2025-12-07,451.14
193,32,2025-04-13,1347.0
194,94,2025-06-28,677.96
195,17,2025-04-20,1154.54
196,53,2024-12-12,457.51
197,62,2026-05-21,305.0
198,81,2026-04-15,678.41
199,79,2025-06-23,1038.41
200,33,2025-01-06,152.5
201,74,2025-06-16,1015.89
202,103,2025-05-17,171.93
203,40,2025-07-12,631.77
204,107,2026-01-03,1052.29
205,53,2024-09-16,672.84
206,32,2025-06-24,159.58
207,86,2024-10-03,577.2
208,56,2024-09-08,544.3
209,19,2026-04-11,321.04
210,87,2024-08-24,189.87
211,53,2025-04-07,980.5
212,7,2025-07-01,790.51
213,82,2025-09-09,120.54
214,10,2025-01-12,1129.33
215,39,2024-07-08,373.12
216,42,2025-02-12,326.44
217,89,2025-05-15,1448.16
218,4,2026-04-23,120.76
219,117,2024-06-13,206.7
220,63,2024-11-07,305.0
