product_id,product_name,category,price
1,Casque Bluetooth,Électronique,26.83
2,Batterie externe,Électronique,102.3
3,Câble USB-C,Électronique,124.0
4,Souris sans fil,Électronique,75.68
5,Clavier mécanique,Électronique,120.44
6,Webcam HD,Électronique,120.49
7,Adaptateur HDMI,Électronique,163.37
8,T-shirt coton,Vêtements,63.29
9,Jean classique,Vêtements,135.83
10,Hoodie,Vêtements,65.9
11,Chaussettes,Vêtements,178.64
12,Bonnet,Vêtements,36.63
13,Écharpe,Vêtements,60.38
14,Veste imperméable,Vêtements,128.8
15,Lampe de bureau,Maison,189.37
16,Coussin,Maison,122.65
17,Tapis,Maison,152.5
18,Tableau,Maison,190.22
19,Étagère,Maison,145.14
20,Miroir,Maison,39.89
21,Cadre photo,Maison,160.96
22,Tapis de yoga,Sports,40.18
23,Bouteille réutilisable,Sports,161.52
24,Gants de sport,Sports,100.68
25,Bande élastique,Sports,184.65
26,Corde à sauter,Sports,68.11
27,Balle de fitness,Sports,46.32
28,Bandeau,Sports,28.16
29,Crème hydratante,Beauté,10.26
30,Savon naturel,Beauté,171.93
31,Shampooing,Beauté,61.04
32,Masque facial,Beauté,34.61
33,Déodorant,Beauté,168.79
34,Brosse à dents,Beauté,95.26
35,Gel douche,Beauté,170.97
